C10-1010	2	1
C10-1012	4	1
C10-1014	3	1
C10-1028	2	1
C10-1067	3	1
C10-1069	4	2
C10-1073	2	1
C10-1074	7	2
C10-1081	2	1
C10-1087	4	1
C10-1117	6	1
C10-1121	3	1
C10-1127	3	2
C10-1141	5	1
C10-1143	4	2
C10-1145	4	2
C10-1146	2	1
C10-1152	3	1
C10-2008	2	1
C10-2013	4	3
C10-2028	3	2
C10-2050	5	1
C10-2063	2	1
C10-2070	6	3
C10-2072	5	2
C10-2085	4	2
C10-2088	3	1
C10-2091	3	2
C10-2092	3	1
C10-2103	2	1
C10-2105	4	2
C10-2127	4	3
C10-2143	2	1
C10-2152	4	2
C10-2168	6	3
C10-2172	6	4
C12-1002	5	3
C12-1003	3	1
C12-1011	3	1
C12-1025	2	1
C12-1026	5	3
C12-1028	5	2
C12-1029	2	1
C12-1044	2	1
C12-1047	5	1
C12-1049	4	1
C12-1058	2	1
C12-1076	11	3
C12-1080	3	1
C12-1082	2	1
C12-1083	5	1
C12-1105	3	1
C12-1108	2	1
C12-1109	4	1
C12-1110	2	1
C12-1121	3	1
C12-1125	3	1
C12-1127	4	1
C12-1135	3	1
C12-1141	3	1
C12-1143	3	1
C12-1149	5	1
C12-1155	9	2
C12-1174	2	1
C12-1175	3	1
C12-1183	3	1
C12-2015	2	1
C12-2032	2	1
C12-2033	4	1
C12-2038	2	1
C12-2039	2	1
C12-2046	4	1
C12-2047	3	1
C12-2048	2	1
C12-2050	3	1
C12-2052	2	1
C12-2054	3	1
C12-2056	2	1
C12-2058	2	1
C12-2064	3	1
C12-2074	3	1
C12-2082	4	1
C12-2091	4	1
C12-2097	2	1
C12-2105	5	1
C12-2107	2	1
C12-2111	4	3
C12-2115	2	1
C12-2118	3	1
C12-2135	2	1
C12-3005	2	1
C12-3015	3	1
C12-3016	2	1
C12-3040	4	1
C12-3058	2	1
C12-3061	8	1
C14-1011	4	3
C14-1020	7	2
C14-1025	2	1
C14-1029	3	1
C14-1031	2	1
C14-1033	4	1
C14-1053	4	2
C14-1091	4	1
C14-1096	4	1
C14-1100	11	1
C14-1129	6	5
C14-1130	2	1
C14-1133	4	2
C14-1135	6	2
C14-1142	2	1
C14-1155	3	2
C14-1156	6	3
C14-1170	3	2
C14-1182	2	1
C14-1184	7	1
C14-1190	3	1
C14-1196	4	1
C14-1197	3	1
C14-1206	4	1
C16-1005	8	1
C16-1009	3	1
C16-1010	3	1
C16-1015	5	1
C16-1021	5	2
C16-1024	2	1
C16-1036	5	1
C16-1040	4	3
C16-1042	3	2
C16-1043	3	1
C16-1048	7	1
C16-1057	2	1
C16-1066	3	1
C16-1083	5	1
C16-1086	3	1
C16-1099	4	1
C16-1100	7	6
C16-1102	3	1
C16-1110	5	2
C16-1138	7	5
C16-1140	2	1
C16-1142	2	1
C16-1143	3	2
C16-1145	3	1
C16-1160	4	1
C16-1164	5	4
C16-1166	5	1
C16-1172	4	1
C16-1176	5	4
C16-1194	4	1
C16-1195	3	1
C16-1196	5	1
C16-1204	2	1
C16-1211	5	1
C16-1218	6	4
C16-1235	4	3
C16-1243	3	1
C16-1247	3	1
C16-1251	4	2
C16-1252	6	1
C16-1257	3	1
C16-1258	3	1
C16-1259	2	1
C16-1262	2	1
C16-1269	3	1
C16-1272	5	1
C16-1275	7	5
C16-1278	4	1
C16-1282	4	3
C16-1291	4	2
C16-1292	5	1
C16-1294	6	3
C16-1298	3	1
C16-1301	3	1
C16-1320	11	1
C16-1323	5	2
C16-1324	5	1
C16-1325	6	5
C16-1331	3	1
C16-1334	3	1
D10-1007	3	2
D10-1013	6	5
D10-1033	4	1
D10-1039	3	1
D10-1044	3	1
D10-1058	2	1
D10-1062	2	1
D10-1076	4	1
D10-1079	7	1
D10-1101	2	1
D10-1110	6	1
D11-1009	2	1
D11-1036	3	1
D11-1046	3	1
D11-1062	5	4
D11-1073	5	4
D11-1108	4	1
D11-1121	5	3
D11-1134	3	2
D11-1143	3	2
D12-1006	3	2
D12-1034	7	1
D12-1057	5	1
D12-1066	3	1
D12-1077	3	1
D12-1096	4	1
D12-1103	3	2
D12-1108	3	1
D13-1002	7	1
D13-1006	4	1
D13-1021	3	1
D13-1023	4	1
D13-1024	5	2
D13-1032	3	1
D13-1037	3	1
D13-1042	3	1
D13-1045	5	4
D13-1048	3	1
D13-1053	3	2
D13-1055	2	1
D13-1056	4	1
D13-1063	4	2
D13-1065	7	1
D13-1068	2	1
D13-1069	2	1
D13-1070	5	4
D13-1075	2	1
D13-1082	6	4
D13-1085	4	2
D13-1093	4	3
D13-1103	3	2
D13-1111	4	1
D13-1112	4	2
D13-1138	4	1
D13-1139	5	1
D13-1177	7	1
D13-1182	5	1
D13-1194	2	1
D13-1196	3	1
D13-1202	5	1
D14-1003	4	1
D14-1006	2	1
D14-1007	6	3
D14-1015	8	3
D14-1016	4	3
D14-1017	4	1
D14-1022	4	3
D14-1051	6	2
D14-1063	2	1
D14-1067	3	2
D14-1086	4	2
D14-1093	5	4
D14-1094	3	2
D14-1103	5	1
D14-1106	3	2
D14-1111	3	1
D14-1121	8	1
D14-1123	7	1
D14-1136	6	1
D14-1142	3	2
D14-1151	2	1
D14-1155	4	1
D14-1159	8	1
D14-1165	4	1
D14-1167	4	3
D14-1169	5	2
D14-1179	7	3
D14-1180	2	1
D14-1184	3	1
D14-1188	2	1
D14-1199	4	2
D15-1002	4	1
D15-1006	5	4
D15-1007	7	1
D15-1014	2	1
D15-1021	7	4
D15-1023	3	2
D15-1025	3	1
D15-1030	3	2
D15-1031	5	2
D15-1033	2	1
D15-1034	3	2
D15-1035	2	1
D15-1036	4	2
D15-1037	3	2
D15-1043	2	1
D15-1055	3	1
D15-1058	3	1
D15-1060	4	1
